epoch: 25700, KL = 0.0892, logLKH = -3.8874, prob_sum = 0.3194, lr = 0.0024188
epoch: 25800, KL = 0.0913, logLKH = -3.9176, prob_sum = 0.3437, lr = 0.0024182
epoch: 25900, KL = 0.0867, logLKH = -3.8532, prob_sum = 0.3351, lr = 0.0024175
epoch: 26000, KL = 0.0854, logLKH = -3.8346, prob_sum = 0.3337, lr = 0.0024169
epoch: 26100, KL = 0.0873, logLKH = -3.8615, prob_sum = 0.3363, lr = 0.0024163
epoch: 26200, KL = 0.0902, logLKH = -3.9022, prob_sum = 0.3351, lr = 0.0024157
epoch: 26300, KL = 0.0860, logLKH = -3.8433, prob_sum = 0.3486, lr = 0.0024150
epoch: 26400, KL = 0.0879, logLKH = -3.8703, prob_sum = 0.3371, lr = 0.0024144
epoch: 26500, KL = 0.0968, logLKH = -3.9944, prob_sum = 0.3398, lr = 0.0024137
epoch: 26600, KL = 0.0919, logLKH = -3.9260, prob_sum = 0.3231, lr = 0.0024131
epoch: 26700, KL = 0.0951, logLKH = -3.9710, prob_sum = 0.3585, lr = 0.0024125
epoch: 26800, KL = 0.1004, logLKH = -4.0449, prob_sum = 0.3416, lr = 0.0024118
epoch: 26900, KL = 0.0951, logLKH = -3.9706, prob_sum = 0.3575, lr = 0.0024112
epoch: 27000, KL = 0.0916, logLKH = -3.9217, prob_sum = 0.3432, lr = 0.0024105
epoch: 27100, KL = 0.0815, logLKH = -3.7795, prob_sum = 0.3423, lr = 0.0024099
epoch: 27200, KL = 0.0895, logLKH = -3.8914, prob_sum = 0.3574, lr = 0.0024092
epoch: 27300, KL = 0.0988, logLKH = -4.0227, prob_sum = 0.3573, lr = 0.0024086
epoch: 27400, KL = 0.1006, logLKH = -4.0470, prob_sum = 0.3870, lr = 0.0024079
epoch: 27500, KL = 0.0950, logLKH = -3.9693, prob_sum = 0.3525, lr = 0.0024072
epoch: 27600, KL = 0.0824, logLKH = -3.7925, prob_sum = 0.3436, lr = 0.0024066
epoch: 27700, KL = 0.0891, logLKH = -3.8865, prob_sum = 0.3596, lr = 0.0024059
epoch: 27800, KL = 0.0850, logLKH = -3.8288, prob_sum = 0.3511, lr = 0.0024052
epoch: 27900, KL = 0.0832, logLKH = -3.8044, prob_sum = 0.3590, lr = 0.0024046
