epoch:205 ==>  KL = [0.19295961], logLKH = [-5.34049193], prob_sum = 0.0785, time = 0.09s
epoch:206 ==>  KL = [0.19288081], logLKH = [-5.33938868], prob_sum = 0.0789, time = 0.10s
epoch:207 ==>  KL = [0.19277847], logLKH = [-5.33795593], prob_sum = 0.0794, time = 0.10s
epoch:208 ==>  KL = [0.19221378], logLKH = [-5.33005022], prob_sum = 0.0796, time = 0.09s
epoch:209 ==>  KL = [0.19151464], logLKH = [-5.32026229], prob_sum = 0.0797, time = 0.09s
epoch:210 ==>  KL = [0.19126234], logLKH = [-5.3167301], prob_sum = 0.0800, time = 0.09s
epoch:211 ==>  KL = [0.19133235], logLKH = [-5.31771024], prob_sum = 0.0805, time = 0.09s
epoch:212 ==>  KL = [0.19129061], logLKH = [-5.31712591], prob_sum = 0.0804, time = 0.10s
epoch:213 ==>  KL = [0.19135441], logLKH = [-5.31801908], prob_sum = 0.0804, time = 0.10s
epoch:214 ==>  KL = [0.19145123], logLKH = [-5.31937449], prob_sum = 0.0806, time = 0.09s
epoch:215 ==>  KL = [0.19114771], logLKH = [-5.31512527], prob_sum = 0.0806, time = 0.09s
epoch:216 ==>  KL = [0.19157481], logLKH = [-5.32110469], prob_sum = 0.0813, time = 0.09s
epoch:217 ==>  KL = [0.1925076], logLKH = [-5.33416372], prob_sum = 0.0821, time = 0.09s
epoch:218 ==>  KL = [0.19242681], logLKH = [-5.33303272], prob_sum = 0.0825, time = 0.09s
epoch:219 ==>  KL = [0.19238083], logLKH = [-5.332389], prob_sum = 0.0830, time = 0.09s
epoch:220 ==>  KL = [0.19044507], logLKH = [-5.30528837], prob_sum = 0.0827, time = 0.09s
epoch:221 ==>  KL = [0.18961902], logLKH = [-5.29372356], prob_sum = 0.0830, time = 0.09s
epoch:222 ==>  KL = [0.19015313], logLKH = [-5.30120114], prob_sum = 0.0832, time = 0.09s
epoch:223 ==>  KL = [0.1895003], logLKH = [-5.29206152], prob_sum = 0.0835, time = 0.09s
epoch:224 ==>  KL = [0.18895119], logLKH = [-5.284374], prob_sum = 0.0838, time = 0.09s
epoch:225 ==>  KL = [0.18853019], logLKH = [-5.27847997], prob_sum = 0.0841, time = 0.09s
epoch:226 ==>  KL = [0.18903219], logLKH = [-5.28550801], prob_sum = 0.0848, time = 0.09s
epoch:227 ==>  KL = [0.18914831], logLKH = [-5.28713367], prob_sum = 0.0853, time = 0.09s
epoch:228 ==>  KL = [0.18988087], logLKH = [-5.29738956], prob_sum = 0.0858, time = 0.09s
epoch:229 ==>  KL = [0.19020184], logLKH = [-5.30188311], prob_sum = 0.0864, time = 0.09s
epoch:230 ==>  KL = [0.19056487], logLKH = [-5.30696551], prob_sum = 0.0867, time = 0.09s
epoch:231 ==>  KL = [0.18987739], logLKH = [-5.2973408], prob_sum = 0.0865, time = 0.09s
epoch:232 ==>  KL = [0.18925332], logLKH = [-5.28860375], prob_sum = 0.0867, time = 0.09s
epoch:233 ==>  KL = [0.18956415], logLKH = [-5.29295544], prob_sum = 0.0869, time = 0.09s
epoch:234 ==>  KL = [0.19056351], logLKH = [-5.30694642], prob_sum = 0.0876, time = 0.09s
epoch:235 ==>  KL = [0.19144028], logLKH = [-5.3192213], prob_sum = 0.0884, time = 0.09s
epoch:236 ==>  KL = [0.19091004], logLKH = [-5.3117979], prob_sum = 0.0887, time = 0.09s
epoch:237 ==>  KL = [0.19137743], logLKH = [-5.3183413], prob_sum = 0.0892, time = 0.10s
epoch:238 ==>  KL = [0.19047255], logLKH = [-5.30567303], prob_sum = 0.0892, time = 0.09s
epoch:239 ==>  KL = [0.19031571], logLKH = [-5.30347721], prob_sum = 0.0896, time = 0.09s
epoch:240 ==>  KL = [0.19004197], logLKH = [-5.29964491], prob_sum = 0.0896, time = 0.10s
epoch:241 ==>  KL = [0.19100817], logLKH = [-5.31317165], prob_sum = 0.0902, time = 0.09s
epoch:242 ==>  KL = [0.18979646], logLKH = [-5.29620784], prob_sum = 0.0901, time = 0.09s
epoch:243 ==>  KL = [0.18815288], logLKH = [-5.27319764], prob_sum = 0.0899, time = 0.09s
epoch:244 ==>  KL = [0.18750194], logLKH = [-5.26408451], prob_sum = 0.0900, time = 0.09s
epoch:245 ==>  KL = [0.18627045], logLKH = [-5.24684366], prob_sum = 0.0899, time = 0.09s
epoch:246 ==>  KL = [0.18467679], logLKH = [-5.22453243], prob_sum = 0.0896, time = 0.09s
epoch:247 ==>  KL = [0.18414404], logLKH = [-5.21707391], prob_sum = 0.0900, time = 0.09s
epoch:248 ==>  KL = [0.18407317], logLKH = [-5.21608166], prob_sum = 0.0906, time = 0.09s
epoch:249 ==>  KL = [0.18327061], logLKH = [-5.20484592], prob_sum = 0.0908, time = 0.09s
epoch:250 ==>  KL = [0.18247563], logLKH = [-5.19371614], prob_sum = 0.0913, time = 0.09s
epoch:251 ==>  KL = [0.18307525], logLKH = [-5.20211087], prob_sum = 0.0919, time = 0.09s
epoch:252 ==>  KL = [0.1845622], logLKH = [-5.22292811], prob_sum = 0.0925, time = 0.09s
epoch:253 ==>  KL = [0.18579133], logLKH = [-5.24013591], prob_sum = 0.0935, time = 0.09s
epoch:254 ==>  KL = [0.18609003], logLKH = [-5.24431779], prob_sum = 0.0938, time = 0.09s
epoch:255 ==>  KL = [0.18433185], logLKH = [-5.21970327], prob_sum = 0.0936, time = 0.09s
epoch:256 ==>  KL = [0.18411261], logLKH = [-5.21663386], prob_sum = 0.0938, time = 0.09s
epoch:257 ==>  KL = [0.18430071], logLKH = [-5.21926727], prob_sum = 0.0943, time = 0.09s
epoch:258 ==>  KL = [0.1851181], logLKH = [-5.23071068], prob_sum = 0.0947, time = 0.09s
epoch:259 ==>  KL = [0.18579458], logLKH = [-5.2401814], prob_sum = 0.0951, time = 0.09s
epoch:260 ==>  KL = [0.18532221], logLKH = [-5.23356831], prob_sum = 0.0950, time = 0.09s
epoch:261 ==>  KL = [0.18513394], logLKH = [-5.23093244], prob_sum = 0.0954, time = 0.09s
epoch:262 ==>  KL = [0.18443884], logLKH = [-5.22120104], prob_sum = 0.0956, time = 0.09s
epoch:263 ==>  KL = [0.18496022], logLKH = [-5.22850038], prob_sum = 0.0963, time = 0.09s
epoch:264 ==>  KL = [0.18477845], logLKH = [-5.22595562], prob_sum = 0.0969, time = 0.09s
