epoch:18000 ==>  KL = [0.01824336], logLKH = [-2.8944643], prob_sum = 0.8516, time = 0.04s
epoch:18100 ==>  KL = [0.01826543], logLKH = [-2.89477333], prob_sum = 0.8533, time = 0.04s
epoch:18200 ==>  KL = [0.01654184], logLKH = [-2.87064311], prob_sum = 0.8538, time = 0.04s
epoch:18300 ==>  KL = [0.01688262], logLKH = [-2.87541394], prob_sum = 0.8551, time = 0.04s
epoch:18400 ==>  KL = [0.01658972], logLKH = [-2.87131338], prob_sum = 0.8561, time = 0.04s
epoch:18500 ==>  KL = [0.01648696], logLKH = [-2.8698748], prob_sum = 0.8572, time = 0.04s
epoch:18600 ==>  KL = [0.01553592], logLKH = [-2.85656021], prob_sum = 0.8577, time = 0.04s
epoch:18700 ==>  KL = [0.01572457], logLKH = [-2.85920133], prob_sum = 0.8589, time = 0.04s
epoch:18800 ==>  KL = [0.01576386], logLKH = [-2.85975142], prob_sum = 0.8600, time = 0.04s
epoch:18900 ==>  KL = [0.01506861], logLKH = [-2.85001793], prob_sum = 0.8605, time = 0.04s
epoch:19000 ==>  KL = [0.01600278], logLKH = [-2.86309632], prob_sum = 0.8617, time = 0.04s
epoch:19100 ==>  KL = [0.01466626], logLKH = [-2.84438493], prob_sum = 0.8629, time = 0.04s
epoch:19200 ==>  KL = [0.01439208], logLKH = [-2.84054644], prob_sum = 0.8638, time = 0.04s
epoch:19300 ==>  KL = [0.0143653], logLKH = [-2.84017159], prob_sum = 0.8645, time = 0.04s
epoch:19400 ==>  KL = [0.01442042], logLKH = [-2.84094314], prob_sum = 0.8657, time = 0.04s
epoch:19500 ==>  KL = [0.01489788], logLKH = [-2.8476277], prob_sum = 0.8671, time = 0.04s
epoch:19600 ==>  KL = [0.01508008], logLKH = [-2.85017842], prob_sum = 0.8685, time = 0.04s
epoch:19700 ==>  KL = [0.01531805], logLKH = [-2.85351003], prob_sum = 0.8695, time = 0.04s
epoch:19800 ==>  KL = [0.0164641], logLKH = [-2.86955478], prob_sum = 0.8710, time = 0.04s
epoch:19900 ==>  KL = [0.01762348], logLKH = [-2.885786], prob_sum = 0.8726, time = 0.04s
epoch:20000 ==>  KL = [0.0150305], logLKH = [-2.84948436], prob_sum = 0.8725, time = 0.04s
epoch:20100 ==>  KL = [0.01499401], logLKH = [-2.84897345], prob_sum = 0.8735, time = 0.04s
epoch:20200 ==>  KL = [0.01511899], logLKH = [-2.85072324], prob_sum = 0.8744, time = 0.04s
epoch:20300 ==>  KL = [0.01495905], logLKH = [-2.84848406], prob_sum = 0.8750, time = 0.04s
epoch:20400 ==>  KL = [0.01528584], logLKH = [-2.85305903], prob_sum = 0.8766, time = 0.04s
epoch:20500 ==>  KL = [0.01607403], logLKH = [-2.86409379], prob_sum = 0.8776, time = 0.04s
epoch:20600 ==>  KL = [0.01666547], logLKH = [-2.87237394], prob_sum = 0.8782, time = 0.04s
epoch:20700 ==>  KL = [0.01522742], logLKH = [-2.85224125], prob_sum = 0.8782, time = 0.04s
epoch:20800 ==>  KL = [0.01635112], logLKH = [-2.867973], prob_sum = 0.8795, time = 0.04s
epoch:20900 ==>  KL = [0.01627049], logLKH = [-2.86684418], prob_sum = 0.8806, time = 0.04s
epoch:21000 ==>  KL = [0.01674313], logLKH = [-2.87346109], prob_sum = 0.8815, time = 0.04s
epoch:21100 ==>  KL = [0.01614216], logLKH = [-2.86504756], prob_sum = 0.8818, time = 0.04s
epoch:21200 ==>  KL = [0.01507885], logLKH = [-2.85016116], prob_sum = 0.8821, time = 0.04s
epoch:21300 ==>  KL = [0.01590748], logLKH = [-2.86176211], prob_sum = 0.8833, time = 0.04s
epoch:21400 ==>  KL = [0.01626212], logLKH = [-2.866727], prob_sum = 0.8842, time = 0.04s
epoch:21500 ==>  KL = [0.01659916], logLKH = [-2.87144554], prob_sum = 0.8853, time = 0.04s
epoch:21600 ==>  KL = [0.01787607], logLKH = [-2.88932232], prob_sum = 0.8867, time = 0.04s
epoch:21700 ==>  KL = [0.01861832], logLKH = [-2.89971375], prob_sum = 0.8874, time = 0.04s
epoch:21800 ==>  KL = [0.01767759], logLKH = [-2.88654354], prob_sum = 0.8880, time = 0.04s
epoch:21900 ==>  KL = [0.01762783], logLKH = [-2.88584695], prob_sum = 0.8889, time = 0.04s
epoch:22000 ==>  KL = [0.01795749], logLKH = [-2.89046225], prob_sum = 0.8895, time = 0.04s
epoch:22100 ==>  KL = [0.0186006], logLKH = [-2.89946575], prob_sum = 0.8909, time = 0.04s
epoch:22200 ==>  KL = [0.019849], logLKH = [-2.91694338], prob_sum = 0.8914, time = 0.04s
epoch:22300 ==>  KL = [0.01956296], logLKH = [-2.91293875], prob_sum = 0.8925, time = 0.04s
epoch:22400 ==>  KL = [0.01951888], logLKH = [-2.91232169], prob_sum = 0.8933, time = 0.04s
epoch:22500 ==>  KL = [0.02154511], logLKH = [-2.94068892], prob_sum = 0.8950, time = 0.04s
epoch:22600 ==>  KL = [0.0203725], logLKH = [-2.92427239], prob_sum = 0.8953, time = 0.04s
epoch:22700 ==>  KL = [0.01851421], logLKH = [-2.89825621], prob_sum = 0.8955, time = 0.04s
epoch:22800 ==>  KL = [0.01936767], logLKH = [-2.91020466], prob_sum = 0.8967, time = 0.04s
epoch:22900 ==>  KL = [0.0190077], logLKH = [-2.90516514], prob_sum = 0.8965, time = 0.04s
epoch:23000 ==>  KL = [0.0201858], logLKH = [-2.92165849], prob_sum = 0.8976, time = 0.04s
epoch:23100 ==>  KL = [0.01984888], logLKH = [-2.91694161], prob_sum = 0.8980, time = 0.04s
epoch:23200 ==>  KL = [0.01929046], logLKH = [-2.90912374], prob_sum = 0.8982, time = 0.04s
epoch:23300 ==>  KL = [0.02022031], logLKH = [-2.92214171], prob_sum = 0.8990, time = 0.04s
epoch:23400 ==>  KL = [0.02232687], logLKH = [-2.95163344], prob_sum = 0.9003, time = 0.04s
epoch:23500 ==>  KL = [0.02141137], logLKH = [-2.93881648], prob_sum = 0.9008, time = 0.04s
epoch:23600 ==>  KL = [0.0180245], logLKH = [-2.89140027], prob_sum = 0.9005, time = 0.04s
epoch:23700 ==>  KL = [0.0185387], logLKH = [-2.89859916], prob_sum = 0.9011, time = 0.04s
epoch:23800 ==>  KL = [0.01667244], logLKH = [-2.87247155], prob_sum = 0.9012, time = 0.04s
epoch:23900 ==>  KL = [0.01643115], logLKH = [-2.86909349], prob_sum = 0.9018, time = 0.04s
epoch:24000 ==>  KL = [0.01742459], logLKH = [-2.88300164], prob_sum = 0.9026, time = 0.04s
epoch:24100 ==>  KL = [0.01696963], logLKH = [-2.87663215], prob_sum = 0.9029, time = 0.04s
epoch:24200 ==>  KL = [0.01813845], logLKH = [-2.89299562], prob_sum = 0.9041, time = 0.04s
epoch:24300 ==>  KL = [0.01723419], logLKH = [-2.88033603], prob_sum = 0.9047, time = 0.04s
epoch:24400 ==>  KL = [0.0147414], logLKH = [-2.84543693], prob_sum = 0.9050, time = 0.04s
epoch:24500 ==>  KL = [0.01464689], logLKH = [-2.84411375], prob_sum = 0.9058, time = 0.04s
epoch:24600 ==>  KL = [0.01557645], logLKH = [-2.85712757], prob_sum = 0.9070, time = 0.04s
epoch:24700 ==>  KL = [0.01294708], logLKH = [-2.82031642], prob_sum = 0.9067, time = 0.04s
epoch:24800 ==>  KL = [0.0131255], logLKH = [-2.82281435], prob_sum = 0.9071, time = 0.04s
epoch:24900 ==>  KL = [0.01274546], logLKH = [-2.81749373], prob_sum = 0.9076, time = 0.04s
epoch:25000 ==>  KL = [0.01307753], logLKH = [-2.82214278], prob_sum = 0.9086, time = 0.04s
epoch:25100 ==>  KL = [0.01314601], logLKH = [-2.82310146], prob_sum = 0.9091, time = 0.04s
epoch:25200 ==>  KL = [0.01367111], logLKH = [-2.8304528], prob_sum = 0.9100, time = 0.04s
epoch:25300 ==>  KL = [0.01460097], logLKH = [-2.84347091], prob_sum = 0.9110, time = 0.04s
epoch:25400 ==>  KL = [0.01475179], logLKH = [-2.84558245], prob_sum = 0.9115, time = 0.04s
epoch:25500 ==>  KL = [0.01601315], logLKH = [-2.86324139], prob_sum = 0.9128, time = 0.04s
epoch:25600 ==>  KL = [0.01493925], logLKH = [-2.84820683], prob_sum = 0.9124, time = 0.04s
epoch:25700 ==>  KL = [0.01628745], logLKH = [-2.86708167], prob_sum = 0.9138, time = 0.04s
epoch:25800 ==>  KL = [0.01710326], logLKH = [-2.87850293], prob_sum = 0.9145, time = 0.04s
